id,description,description_length,word_count,clean_description,cluster,title
138,"Text logo t-shirt - The Text Logo T-Shirt tells the classic story with one word. Printed on pure, 100% organic cotton with PVC- and phthalate-free inks, the shirt is ringspun for softness. Durable, taped shoulder seams minimize chafing. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA.",615,77,text logo shirt text logo shirt tell classic story word print pure organic cotton phthalate free ink shirt ringspun softness durable tape shoulder seam minimize chafing recyclable common thread recycle program detail ringspun yarn soft hand tape shoulder seam screen print ink phthalate free fabric organic cotton recyclable common thread recycle program weight usa,7,Text logo t
139,"The more you know t-shirt - Inspired by Thoreau's immortal words, Yvon Chouinard's mantra of ""the more you know the less you need"" is simply stated through the original artwork of Geoff McFetridge. The More You Know T-Shirt is printed on organic cotton (100%) using PVC- and phthalate-free inks. Durable, taped shoulder seams and ringspun fabric yarns are soft next-to-skin. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA.",753,99,know shirt inspire thoreau immortal word yvon chouinard mantra know need simply state original artwork geoff mcfetridge know shirt print organic cotton phthalate free ink durable tape shoulder seam ringspun fabric yarn soft skin recyclable common thread recycle program detail ringspun yarn soft hand tape shoulder seam screen print ink phthalate free fabric organic cotton recyclable common thread recycle program weight usa,7,The more you know t
140,"Three trees shirt - A summertime staple for airy crags and lofty topouts. The lightweight 100% organic cotton ripstop fabric adds durability for coarse climbs; it has a progressive-minded look with an ultrasoft feel. A shoulder yoke design keeps seams away from gear sling pressure points, and the drop-tail hem stays put under a harness. Three trees are embroidered on the backside of the left shoulder. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, lightweight breathable organic cotton ripstop""</li> <li>Drop-in chest pockets</li> <li>Unique embroidery of trees on back left shoulder along yoke</li> <li>Drop-tail hem</li></ul><br><br><b>Fabric: </b>3.7-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>192 g (6.8 oz)<br><br>Made in Thailand.",855,112,tree shirt summertime staple airy crag lofty topout lightweight organic cotton ripstop fabric add durability coarse climb progressive minded look ultrasoft feel shoulder yoke design keep seam away gear sling pressure point drop tail hem stay harness tree embroider backside left shoulder recyclable common thread recycle program detail soft lightweight breathable organic cotton ripstop drop chest pocket unique embroidery tree left shoulder yoke drop tail hem fabric organic cotton ripstop recyclable common thread recycle program weight thailand,-1,Three trees shirt
141,"Torrentshell pants - They're lightweight, waterproof and breathable: Our new Torrentshell Pants keep you singing in the rain when the thunderstorms boom. The simple pull-on style has an elastic drawcorded waistband, articulated knees and three zippered pockets (two handwarmer, one back hip). The zippered lower legs have adjustable hook-and-loop cuffs, and the pants stuff into the back pocket (with carabiner clip-in loop).<br><br><b>Details:</b><ul> <li>2.5-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>Elasticized self-fabric waistband with internal drawcord - pulls on for easy use</li> <li>""Pockets: secure zippered handwarmers, secure zippered back - all with DWR-treated zippers and storm flaps""</li> <li>Articulated knees</li> <li>""Adjustable, self-fabric hook-and-loop closure at ankle with flapped, DWR-treated zipper to the knee""</li> <li>Pants stow in back pocket</li></ul><br><br><b>Fabric: </b>""2.5-layer, 2.6-oz 50-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(248 g 8.6 oz)<br><br>Made in China.",1147,144,torrentshell pant lightweight waterproof breathable new torrentshell pant singe rain thunderstorm boom simple pull style elastic drawcorded waistband articulate knee zippered pocket handwarmer hip zippered low leg adjustable hook loop cuff pant stuff pocket carabiner clip loop detail layer fabric waterproof breathable barrier deluge dwr durable water repellent finish elasticize self fabric waistband internal drawcord pull easy use pocket secure zippered handwarmer secure zippered dwr treat zipper storm flap articulate knee adjustable self fabric hook loop closure ankle flap dwr treat zipper knee pant stow pocket fabric layer deni nylon ripstop waterproof breathable barrier deluge dwr finish weight china,2,Torrentshell pants
142,"Travel belt - The traveler's ace  keeps your pants adhered and your valuables securely hidden. Made from fast-drying, heavy duty webbing with a zippered, 19-inch stealth pocket to hold your cash, key and a love note from home. With a no-slip anodized buckle that turns your belt into an emergency lashing strap.<br><br><b>Details:</b><ul> <li>Quick-dry nylon webbing doubles as emergency lash strap</li> <li>Forged aluminum buckle is lightweight and strong</li> <li>""Anodized, anticorrosive finish on buckle""</li></ul><br><br><b>Fabric: </b>""1&#189;"""" nylon webbing""<br><br><b>Weight: </b>(210 g 7.3 oz)<br><br>Made in Philippines.",631,81,travel belt traveler ace keep pant adhere valuable securely hide fast dry heavy duty web zippered inch stealth pocket hold cash key love note home slip anodized buckle turn belt emergency lash strap detail quick dry nylon web double emergency lash strap forge aluminum buckle lightweight strong anodize anticorrosive finish buckle fabric nylon web weight philippine,-1,Travel belt
143,"Traverse jkt - Training routine number 47: bicycle to the Indian Peaks; run as much as you can to Pawnee Pass; scramble up Shoshoni Peak; return and ride home; soak in hot tub; start planning number 48. Our lightweight and highly breathable Traverse keeps stride the entire way. The fast-drying 93% all-recycled polyester/7% spandex fabric with 4-way stretch has a Deluge DWR (durable water repellent) finish to protect against wet weather. Jacket features include: a mesh-lined, zip-through stand-up collar with zipper garage, a full-front zip with wind flap; elastic banded cuffs; a drawcord waist and hem; and a slight drop tail. With two zippered handwarmer pockets and a zippered pocket on the left bicep that has an MP3 cord pass-through. Reflective logos (front and back) and graphics at the cuffs keep you visible. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Fast drying stretch-woven polyester soft shell is durable and delivers 4-way mechanical stretch</li> <li>Deluge DWR (durable water repellent) finish</li> <li>Mesh-lined zip-through stand-up collar</li> <li>Full zip with wind flap and zipper garage</li> <li>Zippered handwarmer pockets and a zip pocket at left bicep with interior MP3 cord pass-through</li> <li>Elastic banded cuffs; drawcord waist and hem</li> <li>Slight drop tail; Reflective logos and graphics at cuffs front and back</li></ul><br><br><b>Fabric: </b>4.7-oz 70-denier 93% all-recycled polyester/7% spandex with 4-way mechanical stretch and Deluge DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(285 g 9.9 oz)<br><br>Made in Vietnam.",1680,235,traverse jkt training routine number bicycle indian peak run pawnee pass scramble shoshoni peak return ride home soak hot tub start plan number lightweight highly breathable traverse keep stride entire way fast dry recycle spandex fabric way stretch deluge dwr durable water repellent finish protect wet weather jacket feature include mesh line zip stand collar zipper garage zip wind flap elastic banded cuff drawcord waist hem slight drop tail zipper handwarmer pocket zippered pocket left bicep cord pass reflective logo graphic cuff visible recyclable common thread recycle program detail fast dry stretch weave polyester soft shell durable deliver way mechanical stretch deluge dwr durable water repellent finish mesh line zip stand collar zip wind flap zipper garage zipper handwarmer pocket zip pocket left bicep interior cord pass elastic banded cuff drawcord waist hem slight drop tail reflective logo graphic cuff fabric deni recycle spandex way mechanical stretch deluge dwr durable water repellent finish recyclable common thread recycle program weight vietnam,2,Traverse jkt
144,"Trout silhouette t-shirt - The simplicity of the Silhouette T-Shirt embodies the trout's need for purity: only clean, cold water will do. The tee's printed on a canvas of 100% organic cotton fabric that's ringspun for softness, and has taped shoulder seams and double stitching at sleeves and hem for added durability. Coverstitching at neck and armholes lend a clean finish. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA.",754,100,trout silhouette shirt simplicity silhouette shirt embody trout need purity clean cold water tee print canvas organic cotton fabric ringspun softness tape shoulder seam double stitching sleeve hem add durability coverstitche neck armhole lend clean finish recyclable common thread recycle program detail ringspun yarn soft hand tape shoulder seam screen print ink phthalate free fabric organic cotton recyclable common thread recycle program weight usa,7,Trout silhouette t
145,"Trucker hat - For big rigs or big hair, this is a classic road-tripping hat with lots of volume. Its retro styling features a fabric blend of 47% organic cotton/28% nylon/25% polyester mesh for a cool, ventilated and skin-savvy fit. The generous front bill is precurved; with adjustable tabs in back.<br><br><b>Details:</b><ul> <li>Made from organic cotton canvas and polyester mesh for all-day comfort</li> <li>Shapeable bill for sun protection</li> <li>Adjustable tabs in back customize fit</li> <li>Large volume accommodates big hair</li></ul><br><br><b>Fabric: </b>Front crown: 10-oz 100% organic cotton canvas. Back crown: 100% polyester mesh<br><br><b>Weight: </b>85 g (3 oz)<br><br>Made in China.",703,96,trucker hat big rig big hair classic road trip hat lot volume retro styling feature fabric blend organic polyester mesh cool ventilated skin savvy fit generous bill precurve adjustable tab detail organic cotton canvas polyester mesh day comfort shapeable bill sun protection adjustable tab customize fit large volume accommodate big hair fabric crown organic cotton canvas crown polyester mesh weight china,-1,Trucker hat
146,"Twenty-three's board shorts - Stay covered in our water-tested Wavefarer board short design, with a longer 23"" outseam. To prevent wax rash and rail rub, the Twenty-Threes are made from smooth, quick-drying, DWR-treated 100% nylon, with a forward inseam that won't chafe. A flat-lying, single-button gusseted fly and secure tie entry ensure they won't come off in the spin cycle, while an easy-access, self-draining side zip pocket with key loop keeps your stash intact. Inseam (size 32) is 12"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Recyclable, lightweight nylon with a DWR (durable water repellent) finish; flat-lying single-button fly and 3-piece, self-lined waistband contours to hip line""</li> <li>""Horizontal self-draining side-seam zip pocket with a secure zip, and internal key loop""</li> <li>Forward inseam at crotch eliminates chafing</li> <li>Hem hits below the knee</li> <li>Lower rise</li> <li>""Inseam is 12""""; outseam is 21""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>4.3-oz 100% nylon with DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in Thailand.",1210,163,board short stay covered water test wavefarer board short design long outseam prevent wax rash rail rub three smooth quick dry dwr treat nylon forward inseam chafe flat lie single button gussete fly secure tie entry ensure come spin cycle easy access self drain zip pocket key loop keep stash intact inseam size recyclable common thread recycle program detail recyclable lightweight nylon dwr durable water repellent finish flat lie single button fly piece self line waistband contour hip line horizontal self drain seam zip pocket secure zip internal key loop forward inseam crotch eliminate chafe hem hit knee low rise inseam outseam available size fabric nylon dwr finish recyclable common thread recycle program weight thailand,-1,Twenty
147,"Ultra shorts - Our ever-popular long-cut, quick-drying Ultra Shorts use lightweight 50-denier polyester ripstop with a wicking finish to stay cool and comfortable, mile after mile. Pockets: two front drop-ins, two large back drop-ins - one with stitched compartments to keep energy gels secure - and one zippered security below the waistband to hold a car key. With an interior drawcord, and a lightweight, breathable built-in liner that extends into the waistband for a comfortable fit. Inseam (size M) is 9"". The reflective heat-transfer logo and reflective graphic keep you visible. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight fabric speeds dry times and has a smooth hand for non-chafing comfort</li> <li>""Lightweight, breathable, moisture-wicking, built-in liner extends into waistband for a comfortable fit""</li> <li>Interior drawcord</li> <li>Two front drop-in pockets and two large back pockets; one featuring stitched compartments to keep items secure and a zippered security pocket at waistband</li> <li>Reflective heat-transfer logo and graphic</li> <li>""9"""" inseam""</li></ul><br><br><b>Fabric: </b>3.5-oz 50-denier polyester ripstop with a wicking finish. Lining: 3.8-oz microdenier polyester crepe with moisture-wicking performance. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(207 g 7.2 oz)<br><br>Made in Vietnam.",1418,185,ultra short popular long cut quick dry ultra short use lightweight deni polyester ripstop wicke finish stay cool comfortable mile mile pocket drop in large drop ins stitch compartment energy gel secure zippered security waistband hold car key interior drawcord lightweight breathable build liner extend waistband comfortable fit inseam size reflective heat transfer logo reflective graphic visible recyclable common thread recycle program detail lightweight fabric speed dry time smooth hand non chafing comfort lightweight breathable moisture wicke build liner extend waistband comfortable fit interior drawcord drop pocket large pocket feature stitch compartment item secure zippered security pocket waistband reflective heat transfer logo graphic inseam fabric deni polyester ripstop wicke finish lining microdeni polyester crepe moisture wicke performance recyclable common thread recycle program weight vietnam,17,Ultra shorts
148,"Ulw hiking crew socks - The heat along the Boucher Trail can shut you down fast. These airy hikers, with their dynamic fabric blend of 75% chlorine-free merino wool/21% nylon/4% spandex, manage the moisture from miles of hardpan and preserve a cool airflow so you can keep up the pace. A lightweight looped construction throughout the footbed cushions bruising terrain and an open knit weave over the arch vents excess heat. Our Looped Lintoe construction creates an ultra-flat, toe-friendly seam.<br><br><b>Details:</b><ul> <li>""Wool blend strategically knit to balance wicking performance, cushioning and durability""</li> <li>Ultra-lightweight looped construction on footbed provides maximum cushioning with least bulk</li> <li>""Felted wool yarns are chlorine-free, itch-free and offer long-term stability and performance""</li> <li>Open knit construction on top of foot vents excess heat and helps to moderate foot temperature</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li></ul><br><br><b>Fabric: </b>75% chlorine-free merino wool/21% nylon/4% spandex<br><br><b>Weight: </b>(43 g 1.5 oz)<br><br>Made in USA.",1176,156,ulw hike crew sock heat boucher trail shut fast airy hiker dynamic fabric blend chlorine free merino spandex manage moisture mile hardpan preserve cool airflow pace lightweight loop construction footbe cushion bruise terrain open knit weave arch vent excess heat looped lintoe construction create ultra flat toe friendly seam detail wool blend strategically knit balance wicke performance cushioning durability ultra lightweight loop construction footbed provide maximum cushioning bulk felt wool yarn chlorine free itch free offer long term stability performance open knit construction foot vent excess heat help moderate foot temperature loop lintoe construction create small flat seam possible ultimate toe comfort fabric chlorine free merino spandex weight usa,10,Ulw hiking crew socks
149,"Velocity cap - When you're running the parched, open slopes of Black Mountain, our Velocity Cap keeps your head in a current of cool air. It has built-in breathability through its mesh panels and a wispy crown made from 100% polyester to deflect heat. The 5-panel design allows a close fit that customizes via a low-profile elastic and buckle closure. A wicking Coolmax headband keeps sweat out of your eyes and a dark underbill shades them from glare.<br><br><b>Details:</b><ul> <li>Adjustable rear buckle with elastic for snug fit</li> <li>Coolmax headband to wick moisture</li> <li>Dark underbill reduces glare</li> <li>Sanded fabric is soft against skin</li></ul><br><br><b>Fabric: </b>3.2-oz 100% polyester<br><br><b>Weight: </b>(75 g 2.6 oz)<br><br>Made in China.",769,110,velocity cap run parch open slope black mountain velocity cap keep head current cool air build breathability mesh panel wispy crown polyester deflect heat panel design allow close fit customize low profile elastic buckle closure wicke coolmax headband keep sweat eye dark underbill shade glare detail adjustable rear buckle elastic snug fit coolmax headband wick moisture dark underbill reduce glare sand fabric soft skin fabric polyester weight china,-1,Velocity cap
150,"Watermaster hip highs - Originally made for Midwest spring creek aficionados, the Watermaster Hip Highs are finding fans among backcountry trekkers, jetty scramblers, skinny water paddlers and other minimalist anglers. Rest assured, these are not your grandpa's floppy rubber hip boots, either. The Watermasters are made from our proprietary waterproof/breathable polyester microfiber fabric with H2No Hydrostorm barrier for durable, sweat-free performance. Quick-release buckle hip adjustments, top hem drawcord and gripper elastic strip provide secure, flop-free upper leg fit. Down below, specifically designed left and right neoprene booties and built-in fabric gravel guards with abrasion resistant scuff zones keep feet protected and comfortable.<br><br><b>Details:</b><ul> <li>Specifically designed left and right legs and booties</li> <li>Quick-release buckle hip adjustments</li> <li>Top hem drawcord and gripper elastic strip for secure upper leg fit</li> <li>""Built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones""</li> <li>""1 1/4"""" gripper elastic gravel guard cuffs""</li> <li>""Concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch; Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit""</li></ul><br><br><b>Fabric: </b>""Legs: 3-layer, 7-oz polyester microfiber with proprietary H2No Hydrostorm waterproof/breathable barrier and Deluge DWR (durable water repellent finish). Gravel guards: 6.35-oz polyester microfiber double weave. Booties: 3-mm neoprene with abrasion-resistant fabric soles""<br><br><b>Weight: </b>(669 g 23.2 oz)<br><br>Made in China.",1702,213,watermaster hip high originally midwest spring creek aficionado watermaster hip high find fan backcountry trekker jetty scrambler skinny water paddler minimalist angler rest assure grandpa floppy rubber hip boot watermaster proprietary waterproof breathable polyester microfiber fabric hydrostorm barrier durable sweat free performance quick release buckle hip adjustment hem drawcord gripp elastic strip provide secure flop free upper leg fit specifically design left right neoprene bootie build fabric gravel guard abrasion resistant scuff zone foot protect comfortable detail specifically design left right leg bootie quick release buckle hip adjustment hem drawcord gripper elastic strip secure upper leg fit build heavyweight reinforcement fabric gravel guard abrasion resistance scuff zone gripper elastic gravel guard cuff conceal stainless steel lock boot hook secure cuff boot avoid line catch stretch wade belt quick release duraflex stealth buckle provide smooth function easy adjustable fit fabric leg layer polyester microfiber proprietary hydrostorm waterproof breathable barrier deluge dwr durable water repellent finish gravel guard polyester microfiber double weave bootie neoprene abrasion resistant fabric sol weight china,15,Watermaster hip highs
151,"World according to bikers t-shir - Our health and the health of the planet cycle around interconnectedness. Featuring original work by the art team Heads of State, the World According to Bikers T-Shirt is printed on organic (100%) cotton. The V-neck shirt features an inside message about the movement to create a complete, interconnected transportation network for cyclists (bikeleague.org for more info). Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA.",785,101,world accord biker shir health health planet cycle interconnectedness feature original work art team head state world accord biker shirt print organic cotton neck shirt feature inside message movement create complete interconnected transportation network cyclist info recyclable common thread recycle program detail ringspun yarn soft hand tape shoulder seam screen print ink phthalate free fabric organic cotton recyclable common thread recycle program weight usa,-1,World according to bikers t
152,"World trout t-shirt - James Prosek recreates the view from above, mimicking the energy of the fish with unique line art. Five dollars from the sale of each shirt will benefit World Trout, an organization that supports conservation efforts and identifies and protects native fish. Learn more about Patagonia's fly fishing line and World Trout at www.patagonia.com/fishing. Made from 100% organic cotton, the tee is recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA.",792,104,world trout shirt james prosek recreate view mimic energy fish unique line art dollar sale shirt benefit world trout organization support conservation effort identifie protect native fish learn patagonia fly fishing line world trout organic cotton tee recyclable common thread recycle program detail ringspun yarn soft hand tape shoulder seam screen print ink phthalate free fabric organic cotton recyclable common thread recycle program weight usa,7,World trout t
153,"Watermaster waders - long - Blackberries, barbwire, basalt...the fact is, we ask a lot of our waders - most importantly, that they keep us dry through all sorts of abuse. The new version of our Watermaster Waders accomplishes this on a number of fronts: First, our proprietary waterproof/breathable polyester microfiber fabric package with H2No Hydrostorm barrier is quantitatively more puncture resistant than the competition. Then, because wet is wet, whether it comes from inside or out, we use lighter, more breathable fabric up top and a tougher version below. Finally, and not to be overlooked, our innovative internal suspension system makes it easier than ever to, uh...relieve yourself without taking off jacket or vest. Something to consider in a driving rainstorm. It all adds up to an incredibly dry, durable and lightweight pair of waders. In other words, Watermasters. Field repair kit included.<br><br><b>Details:</b><ul> <li>Polyester microfiber shell with a proprietary waterproof/breathable H2No Hydrostorm barrier and Deluge DWR (durable water repellent) finish; Inside zippered main pocket (with piggyback mesh pocket and internal key/tool loop) flips out for quick access</li> <li>""Unique, waist-mounted suspender allows easy conversion from chest to waist height; TPU post and slot design on front and back of suspenders offers security when wading deep and for roll down, waist high comfort""</li> <li>Anatomically curved knees and modified Y-Joint crotch; inside leg seams are positioned away from wear zones</li> <li>""Specifically designed left and right legs and booties; built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones""</li> <li>""1 1/4"""" gripper elastic gravel guard cuffs; concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch""</li> <li>Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit</li> <li>Field repair kit included</li></ul><br><br><b>Fabric: </b>""Upper: 3-layer, 5.2-oz polyester microfiber twill shell with a proprietary waterproof/ breathable H2No Hydrostorm barrier and Deluge&#174; DWR (durable water repellent) finish. Lower torso and legs: 3-layer, 7-oz polyester microfiber reinforcement fabric with proprietary H2No Hydrostorm barrier and Deluge DWR finish. Gravel guards: 6.35-oz polyester microfiber with Deluge DWR finish. Booties: 3-mm neoprene with abrasion-resistant fabric soles""<br><br><b>Weight: </b>(1096 g 38 oz)<br><br>Made in China.",2536,351,watermaster waders long blackberry barbwire basalt fact ask lot wader importantly dry sort abuse new version watermaster wader accomplish number front proprietary waterproof breathable polyester microfiber fabric package hydrostorm barrier quantitatively puncture resistant competition wet wet come inside use light breathable fabric tough version finally overlook innovative internal suspension system make easy relieve take jacket vest consider driving rainstorm add incredibly dry durable lightweight pair wader word watermaster field repair kit include detail polyester microfiber shell proprietary waterproof breathable hydrostorm barrier deluge dwr durable water repellent finish inside zippered main pocket piggyback mesh pocket internal key tool loop flip quick access unique waist mount suspender allow easy conversion chest waist height tpu post slot design suspender offer security wade deep roll waist high comfort anatomically curved knee modify joint crotch inside leg seam position away wear zone specifically design left right leg bootie build heavyweight reinforcement fabric gravel guard abrasion resistance scuff zone gripper elastic gravel guard cuff conceal stainless steel lock boot hook secure cuff boot avoid line catch stretch wade belt quick release duraflex stealth buckle provide smooth function easy adjustable fit field repair kit include fabric upper layer polyester microfiber twill shell proprietary breathable hydrostorm barrier dwr durable water repellent finish low torso leg layer polyester microfiber reinforcement fabric proprietary hydrostorm barrier deluge dwr finish gravel guard polyester microfiber deluge dwr finish bootie neoprene abrasion resistant fabric sol weight china,15,Watermaster waders
154,"Watermaster waders - short - Blackberries, barbwire, basalt...the fact is, we ask a lot of our waders - most importantly, that they keep us dry through all sorts of abuse. The new version of our Watermaster Waders accomplishes this on a number of fronts: First, our proprietary waterproof/breathable polyester microfiber fabric package with H2No Hydrostorm barrier is quantitatively more puncture resistant than the competition. Then, because wet is wet, whether it comes from inside or out, we use lighter, more breathable fabric up top and a tougher version below. Finally, and not to be overlooked, our innovative internal suspension system makes it easier than ever to, uh...relieve yourself without taking off jacket or vest. Something to consider in a driving rainstorm. It all adds up to an incredibly dry, durable and lightweight pair of waders. In other words, Watermasters. Field repair kit included.<br><br><b>Details:</b><ul> <li>Polyester microfiber shell with a proprietary waterproof/breathable H2No Hydrostorm barrier and Deluge DWR (durable water repellent) finish; Inside zippered main pocket (with piggyback mesh pocket and internal key/tool loop) flips out for quick access</li> <li>""Unique, waist-mounted suspender allows easy conversion from chest to waist height; TPU post and slot design on front and back of suspenders offers security when wading deep and for roll down, waist high comfort""</li> <li>Anatomically curved knees and modified Y-Joint crotch; inside leg seams are positioned away from wear zones</li> <li>""Specifically designed left and right legs and booties; built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones""</li> <li>""1 1/4"""" gripper elastic gravel guard cuffs; concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch""</li> <li>Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit</li> <li>Field repair kit included</li></ul><br><br><b>Fabric: </b>""Upper: 3-layer, 5.2-oz polyester microfiber twill shell with a proprietary waterproof/ breathable H2No Hydrostorm barrier and Deluge&#174; DWR (durable water repellent) finish. Lower torso and legs: 3-layer, 7-oz polyester microfiber reinforcement fabric with proprietary H2No Hydrostorm barrier and Deluge DWR finish. Gravel guards: 6.35-oz polyester microfiber with Deluge DWR finish. Booties: 3-mm neoprene with abrasion-resistant fabric soles""<br><br><b>Weight: </b>(1096 g 38 oz)<br><br>Made in China.",2537,351,watermaster waders short blackberry barbwire basalt fact ask lot wader importantly dry sort abuse new version watermaster wader accomplish number front proprietary waterproof breathable polyester microfiber fabric package hydrostorm barrier quantitatively puncture resistant competition wet wet come inside use light breathable fabric tough version finally overlook innovative internal suspension system make easy relieve take jacket vest consider driving rainstorm add incredibly dry durable lightweight pair wader word watermaster field repair kit include detail polyester microfiber shell proprietary waterproof breathable hydrostorm barrier deluge dwr durable water repellent finish inside zippered main pocket piggyback mesh pocket internal key tool loop flip quick access unique waist mount suspender allow easy conversion chest waist height tpu post slot design suspender offer security wade deep roll waist high comfort anatomically curved knee modify joint crotch inside leg seam position away wear zone specifically design left right leg bootie build heavyweight reinforcement fabric gravel guard abrasion resistance scuff zone gripper elastic gravel guard cuff conceal stainless steel lock boot hook secure cuff boot avoid line catch stretch wade belt quick release duraflex stealth buckle provide smooth function easy adjustable fit field repair kit include fabric upper layer polyester microfiber twill shell proprietary breathable hydrostorm barrier dwr durable water repellent finish low torso leg layer polyester microfiber reinforcement fabric proprietary hydrostorm barrier deluge dwr finish gravel guard polyester microfiber deluge dwr finish bootie neoprene abrasion resistant fabric sol weight china,15,Watermaster waders
155,"Active hipster - While the perfect life might be nomadic, the perfect underwear should stay put. Low-riding Active Hipsters have an extra-wide waistband and newly redesigned single-sided leg binding that won't wander or restrict. Ultra-soft and pliable, the fabric manages moisture and breathes, keeping you comfortable and dry. Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 93% polyester (58% recycled)/7% spandex.<br><br><b>Details:</b><ul> <li>""Solids and prints made of smooth, stretchy nylon; stripes made of soft, stretchy polyester, both wick moisture""</li> <li>""Comfy, extra-wide waistband lies flat, won't roll or bind, breathable mini-rib crotch, soft, single-sided binding at leg openings won't chafe or creep""</li></ul><br><br><b>Fabric: </b>Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 93% polyester (58% recycled)/7% spandex. All with moisture-wicking performance<br><br><b>Weight: </b>42 g (1.5 oz)<br><br>Made in Israel.",973,125,active hipster perfect life nomadic perfect underwear stay low ride active hipster extra wide waistband newly redesign single sided leg binding wander restrict ultra soft pliable fabric manage moisture breathe keep comfortable dry solid print spandex stripe polyester spandex detail solid print smooth stretchy nylon stripe soft stretchy polyester wick moisture comfy extra wide waistband lie flat roll bind breathable mini rib crotch soft single sided binding leg opening chafe creep fabric solid print spandex stripe polyester spandex moisture wicke performance weight israel,-1,Active hipster
